id_ci,id_delito,dto,moda_dto,forma_acc,fha_de_hchos,hra_de_hchos,emto_com_dto,grdo_cons,clasf_de_dto,nom_ent_hchos,id_ent_hchos,nom_mun_hchos,id_mun_hchos,nom_loc_hchos,id_loc_hchos,nom_col_hchos,id_col_hchos,cp,coord_x,coord_y,dom_hchos,usuario_envio,fecha_envio
*12050410300301070526,1516,SECUESTRO EXTORSIVO,Agravado,1,04/04/2026,00:00:00,7,1,2.01.01,Mexico,15,CALIMAYA,18,CALIMAYA,1,CALIMAYA,9443,52200,-99.579155,19.186212,AVENIDA INDUSTRIA DE LA LOGISTICA,MEXX25052300,04/06/2026
AME/AMC/00/MPI/009/00465/26/05,9,ABUSO DE CONFIANZA,Simple,3,04/04/2026,12:00:00,8,1,4.03,Mexico,15,AMECAMECA,9,AMECAMECA,1,SAN ANTONIO ZOYATZINGO,4519,56950,-98.7820064,19.0927311,CALLE NUEVO LEON,MEXX25052300,04/06/2026
AME/AMC/00/MPI/046/00426/26/05,46,ALLANAMIENTO DE MORADA,Simple,3,04/04/2026,19:20:00,8,1,7.03,Mexico,15,AMECAMECA,9,AMECAMECA,1,DEL ROSARIO,9236,56904,-98.7624702,19.1257594,PROLONGACION PROGRESO,MEXX25052300,04/06/2026
AME/AMC/00/MPI/067/00450/26/05,67,ATAQUES A LAS VIAS DE COMUNICACION Y MEDIOS DE TRANSPORTE,Simple,2,04/04/2026,13:05:00,8,1,6.03,Mexico,15,CHALCO,25,CHALCO DE DIAZ COVARRUBIAS,1,GRANJAS CHALCO,5074,56600,-98.8837539,19.252676,AVENIDA CUAHUTEMOC ORIENTE 1202,MEXX25052300,04/06/2026
AME/AMC/00/MPI/126/00423/26/05,126,DAÑO EN LOS BIENES CULPOSO,Simple,2,04/04/2026,00:45:00,7,1,4.05,Mexico,15,AMECAMECA,9,AMECAMECA,1,SECTOR PANOHAYA,9243,56903,-98.7724808,19.1401997,AVENIDA VEINTE DE NOVIEMBRE,MEXX25052300,04/06/2026
AME/AMC/00/MPI/126/00444/26/05,126,DAÑO EN LOS BIENES CULPOSO,Simple,2,04/04/2026,10:30:00,7,1,4.05,Mexico,15,AMECAMECA,9,AMECAMECA,1,SECTOR POPOCATEPETL,9246,56905,-98.7667481,19.1223754,DE LA ROSA,MEXX25052300,04/06/2026
AME/AMC/00/MPI/126/00467/26/05,126,DAÑO EN LOS BIENES DOLOSO,Simple,2,04/04/2026,13:00:00,7,1,4.05,Mexico,15,OZUMBA,68,OZUMBA,1,GUADALUPE HIDALGO,3,56816,-98.8158533,18.9718711,NACIONAL,MEXX25052300,04/06/2026
AME/AMC/00/MPI/126/00500/26/05,126,DAÑO EN LOS BIENES DOLOSO,Simple,1,04/04/2026,00:30:00,7,1,4.05,Mexico,15,TLALMANALCO,103,TLALMANALCO,1,SAN CRISTOBAL TEZOPILO,9486,56700,-98.8074802,19.1979424,CAMINO A TEZOPILO,MEXX25052300,04/06/2026
AME/AMC/00/MPI/126/00502/26/05,126,DAÑO EN LOS BIENES DOLOSO,Simple,1,04/04/2026,17:00:00,7,1,4.05,Mexico,15,TLALMANALCO,103,TLALMANALCO,1,LA LADRILLERA,6957,56740,-98.7593251,19.2056976,MORELOS MANZANA 3 LOTE 1,MEXX25052300,04/06/2026
AME/AMC/00/MPI/126/00503/26/05,126,DAÑO EN LOS BIENES DOLOSO,Simple,1,04/04/2026,17:00:00,7,1,4.05,Mexico,15,TLALMANALCO,103,TLALMANALCO,1,LA LADRILLERA,6957,56740,-98.7593251,19.2056976,MORELOS,MEXX25052300,04/06/2026
AME/AMC/00/MPI/134/00438/26/05,172,DELITOS CONTRA LA SALUD COMERCIALIZACION,Simple,2,04/04/2026,13:10:00,8,1,7.01.02,Mexico,15,OZUMBA,68,OZUMBA,1,OZUMBA DE ALZATE,4502,56800,-98.8072957,19.0378159,CARRETERA FEDERAL 115 MEXICO CUAUTLA,MEXX25052300,04/06/2026
AME/AMC/00/MPI/172/00463/26/05,172,DELITOS CONTRA LA SALUD COMERCIALIZACION,Simple,2,04/04/2026,13:00:00,8,1,7.01.02,Mexico,15,AMECAMECA,9,AMECAMECA,1,EL TORITO,9247,56905,-98.7667481,19.1223754,CARRETERA FEDERAL AMECAMECA-TLAMACAS K 0+500,MEXX25052300,04/06/2026
AME/AMC/00/MPI/184/00416/26/05,1512,VIOLENCIA EJERCIDA A TRAVES DE LAS TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION,Simple,2,04/04/2026,17:00:00,8,1,7.1,Mexico,15,AMECAMECA,9,AMECAMECA DE JUAREZ,1,SAN ANTONIO ZOYATZINGO,4519,56950,-98.782866,19.084672,CARRETERA FEDERAL MEXICO-CUAUTLA,MEXX25052300,04/06/2026
AME/AMC/00/MPI/184/00432/26/05,395,FRAUDE,No especificado,3,04/04/2026,15:43:00,8,1,4.02,Mexico,15,TLALMANALCO,103,TLALMANALCO,1,SAN RAFAEL,4488,56740,-98.7611015,19.204664,DOMICILIO CONOCIDO,MEXX25052300,04/06/2026
AME/AMC/00/MPI/184/00433/26/05,781,USURPACION DE IDENTIDAD,Simple,2,04/04/2026,13:40:00,8,1,7.12,Mexico,15,TEPETLIXPA,94,TEPETLIXPA,1,NEPANTLA DE SOR JUANA INES DE LA CRUZ,4512,56890,-98.8383874,18.9901582,NEPANTLA,MEXX25052300,04/06/2026
AME/AMC/00/MPI/184/00439/26/05,184,DENUNCIA DE HECHOS,No especificado,3,04/04/2026,12:00:00,7,1,7.1,Mexico,15,OZUMBA,68,OZUMBA,1,OZUMBA DE ALZATE,4502,56800,-100.133563,18.8866299,DESCONOCIDA,MEXX25052300,04/06/2026
AME/AMC/00/MPI/184/00480/26/05,184,DENUNCIA DE HECHOS,Simple,2,04/04/2026,01:58:00,8,1,7.1,Mexico,15,AMECAMECA,9,AMECAMECA,1,SAN FRANCISCO ZENTLALPAN,4515,56930,-98.7794172,19.1443834,LAURA MENDEZ DE CUENCA,MEXX25052300,04/06/2026
AME/AMC/00/MPI/184/00484/26/05,184,DENUNCIA DE HECHOS,Simple,2,04/04/2026,16:15:00,8,1,7.1,Mexico,15,AMECAMECA,9,AMECAMECA,1,SECTOR SACROMONTE,4513,56900,-98.7690307,19.1294735,AVENIDA 20 DE NOVIEMBRE,MEXX25052300,04/06/2026
AME/AMC/00/MPI/184/00487/26/05,184,DENUNCIA DE HECHOS,Simple,2,04/04/2026,16:32:00,7,1,7.1,Mexico,15,OZUMBA,68,OZUMBA,1,SAN MATEO TECALCO,4503,56800,-99.5826486,18.9556387,SN,MEXX25052300,04/06/2026
AME/AMC/00/MPI/184/00490/26/05,184,DENUNCIA DE HECHOS,Simple,2,04/04/2026,20:30:00,7,1,7.1,Mexico,15,AMECAMECA,9,AMECAMECA,1,SAN FRANCISCO ZENTLALPAN,4515,56930,-99.5892431,18.9558339,SR,MEXX25052300,04/06/2026
AME/AMC/00/MPI/184/00491/26/05,445,MALTRATO ANIMAL,Simple,1,04/04/2026,16:00:00,7,1,7.1,Mexico,15,TLALMANALCO,103,TLALMANALCO,1,DE LOS CHINCOLOS,9469,56700,-98.8030131,19.2035578,CRUZ VERDE,MEXX25052300,04/06/2026
AME/AMC/00/MPI/184/00493/26/05,184,DENUNCIA DE HECHOS,Simple,2,04/04/2026,14:00:00,7,1,7.1,Mexico,15,AMECAMECA,9,AMECAMECA,1,SECTOR SACROMONTE,4513,56900,-99.5756048,18.9560191,ABASOLO,MEXX25052300,04/06/2026
AME/AMC/00/MPI/184/00495/26/05,184,DENUNCIA DE HECHOS,Simple,2,04/04/2026,10:00:00,7,1,7.1,Mexico,15,AMECAMECA,9,AMECAMECA,1,SECTOR SACROMONTE,4513,56900,-98.7558803,18.9561768,SR,MEXX25052300,04/06/2026
AME/AMC/00/MPI/184/00497/26/05,184,DENUNCIA DE HECHOS,Simple,2,04/04/2026,10:18:00,7,1,7.1,Mexico,15,TLALMANALCO,103,TLALMANALCO,1,TLALMANALCO,0,0,-99.5912688,18.9563282,SR,MEXX25052300,04/06/2026
AME/AMC/00/MPI/184/00498/26/05,395,FRAUDE,Simple,1,04/04/2026,17:36:00,8,1,4.02,Mexico,15,AMECAMECA,9,AMECAMECA,1,SECTOR PANOHAYA,9243,56903,-98.7724808,19.1401997,DOMICILIO CONOCIDO,MEXX25052300,04/06/2026
AME/AMC/00/MPI/203/00501/26/05,203,DESOBEDIENCIA,No especificado,1,04/04/2026,18:35:00,7,1,7.08,Mexico,15,AMECAMECA,9,AMECAMECA,1,SECTOR SACROMONTE,4513,56900,-98.7723905,19.127382,AVENIDA 20 DE NOVIEMBRE,MEXX25052300,04/06/2026
AME/AMC/00/MPI/218/00417/26/05,218,DISPARO DE ARMA DE FUEGO Y ATAQUE PELIGROSO,Simple,3,04/04/2026,20:00:00,1,1,1.05,Mexico,15,TLALMANALCO,103,TLALMANALCO,1,PUEBLO NUEVO,4484,56723,-98.7724119,19.2046206,CALLEJON MAGDALENA,MEXX25052300,04/06/2026
AME/AMC/00/MPI/218/00452/26/05,218,DISPARO DE ARMA DE FUEGO Y ATAQUE PELIGROSO,No especificado,3,04/04/2026,15:00:00,7,1,1.05,Mexico,15,AYAPANGO,17,AYAPANGO,1,POXTLA,4492,56766,-98.797572,19.1372547,MATAMOROS ESQUINA CON AVENIDA NACIONAL,MEXX25052300,04/06/2026
AME/AMC/00/MPI/360/00456/26/05,1520,EXTORSION POR OTROS MEDIOS,Simple,2,04/04/2026,10:17:00,5,1,4.04.02,Mexico,15,TEPETLIXPA,94,TEPETLIXPA,1,TEPETLIXPA,4510,56880,-98.8224941,19.0273812,GUERRERO,MEXX25052300,04/06/2026
AME/AMC/00/MPI/360/00458/26/05,1520,EXTORSION POR OTROS MEDIOS,Simple,3,04/04/2026,12:00:00,5,1,4.04.02,Mexico,15,OZUMBA,68,OZUMBA,1,SANTA CRUZ,9309,56800,-98.7978659,19.033529,ALZATE,MEXX25052300,04/06/2026
AME/AMC/00/MPI/387/00442/26/05,387,FALSO TESTIMONIO,Simple,2,04/04/2026,12:00:00,8,1,7.05,Mexico,15,AMECAMECA,9,AMECAMECA,1,SECTOR PANOHAYA,9243,56903,-98.7724808,19.1401997,CHAPULTEPEC,MEXX25052300,04/06/2026
