id_ci,id_delito,id_vicf,id_tv,id_tpm,sexo,genero,pob,disc,fha_nac,edad,nacional,usuario_envio,fecha_envio
*12050410300301070526,1516,1,1,6,1,1,4,4,1992-03-08,34,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/009/00465/26/05,9,1,1,6,1,1,4,4,,45,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/046/00426/26/05,46,1,1,6,2,2,4,4,,46,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/067/00450/26/05,67,1,3,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/126/00423/26/05,126,1,1,6,2,2,4,4,1973-12-15,52,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/126/00444/26/05,126,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/126/00467/26/05,126,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/126/00500/26/05,126,1,1,6,1,1,4,4,1999-10-27,26,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/126/00502/26/05,126,1,1,6,2,2,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/126/00503/26/05,126,1,1,6,2,2,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/134/00438/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/172/00463/26/05,172,1,4,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/184/00416/26/05,1512,1,1,6,2,2,4,4,,20,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/184/00432/26/05,395,1,3,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/184/00433/26/05,781,1,1,6,2,2,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/184/00439/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/184/00480/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/184/00484/26/05,184,1,1,6,3,3,4,4,2004-07-06,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/184/00487/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/184/00490/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/184/00491/26/05,445,1,4,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/184/00493/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/184/00495/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/184/00497/26/05,184,1,1,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/184/00498/26/05,395,1,3,6,3,3,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/203/00501/26/05,203,1,1,6,2,2,4,4,,12,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/203/00501/26/05,203,2,1,6,2,2,4,4,,8,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/203/00501/26/05,203,3,1,6,2,2,4,4,,8,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/218/00417/26/05,218,1,1,6,2,2,4,4,,35,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/218/00452/26/05,218,1,1,6,1,1,4,4,,40,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/360/00456/26/05,1520,1,4,6,2,2,4,4,,32,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/360/00458/26/05,1520,1,4,6,1,1,4,4,,63,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/387/00442/26/05,387,1,1,6,2,2,4,4,,67,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/395/00420/26/05,395,1,1,6,1,1,4,4,,62,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/395/00447/26/05,395,1,1,6,1,1,4,4,,31,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/395/00460/26/05,395,1,1,6,1,1,4,4,,68,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/395/00461/26/05,395,1,1,6,1,1,4,4,,53,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/395/00479/26/05,395,1,1,6,1,1,4,4,,30,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/397/00488/26/05,397,1,1,6,1,1,4,4,,78,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/443/00419/26/05,443,1,1,6,2,2,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/443/00421/26/05,443,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/443/00441/26/05,443,1,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/443/00443/26/05,443,1,1,6,1,1,4,4,,33,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/443/00445/26/05,443,1,1,6,2,2,4,4,,17,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/443/00453/26/05,443,1,1,6,2,2,4,4,,31,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/443/00455/26/05,443,1,1,6,1,1,4,4,2007-11-26,18,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/443/00457/26/05,443,1,1,6,2,2,4,4,1975-12-27,50,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/443/00457/26/05,443,2,1,6,2,2,4,4,,999,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/443/00459/26/05,443,1,1,6,2,2,4,4,,15,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/443/00466/26/05,443,1,1,6,2,2,4,4,,25,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/443/00472/26/05,443,1,1,6,2,2,4,4,,58,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/443/00475/26/05,443,1,1,6,1,1,4,4,,41,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/443/00475/26/05,443,2,1,6,1,1,4,4,1983-02-06,38,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/443/00475/26/05,443,3,1,6,1,1,4,4,,14,73,MEXX25052300,2026-06-04
AME/AMC/00/MPI/443/00475/26/05,443,4,1,6,1,1,4,4,,999,73,MEXX25052300,2026-06-04
